,market_segment,distribution_channel,is_repeated_guest,agent,company,customer_type,adr,Marketing_id
179,Online TA,TA/TO,0,240.0,,Transient,117.63,116
180,Online TA,TA/TO,0,240.0,,Transient,185.0,117
181,Offline TA/TO,TA/TO,0,175.0,,Transient,71.0,118
182,Offline TA/TO,TA/TO,0,2.0,,Contract,47.25,119
183,Online TA,TA/TO,0,240.0,,Transient,151.0,120
185,Offline TA/TO,TA/TO,0,242.0,,Transient,120.6,121
187,Direct,Direct,0,250.0,,Transient,157.1,122
188,Offline TA/TO,TA/TO,0,156.0,,Contract,91.37,123
189,Direct,Direct,0,,,Transient,73.0,124
190,Offline TA/TO,TA/TO,0,8.0,,Contract,110.7,125
191,Offline TA/TO,TA/TO,0,40.0,,Contract,93.6,126
192,Offline TA/TO,TA/TO,0,127.0,,Transient,83.5,127
195,Direct,Direct,0,250.0,,Transient,185.5,128
198,Online TA,TA/TO,0,240.0,,Transient,109.8,129
199,Direct,Direct,0,,,Transient,195.0,130
201,Online TA,TA/TO,0,240.0,,Transient,193.0,131
203,Offline TA/TO,TA/TO,0,95.0,,Transient,150.0,132
204,Direct,Direct,0,,,Transient,98.0,133
205,Offline TA/TO,TA/TO,0,134.0,,Transient,91.5,134
207,Offline TA/TO,TA/TO,0,8.0,,Transient,79.5,135
209,Offline TA/TO,TA/TO,0,156.0,,Contract,126.65,136
214,Online TA,TA/TO,0,240.0,,Transient,146.0,137
217,Offline TA/TO,TA/TO,0,146.0,,Transient,61.0,138
218,Corporate,Corporate,0,,110.0,Transient,104.72,139
221,Direct,Direct,0,9.0,,Transient,66.42,140
222,Direct,Direct,0,250.0,,Transient,77.96,141
223,Offline TA/TO,TA/TO,0,40.0,,Contract,112.0,142
225,Offline TA/TO,TA/TO,0,40.0,,Contract,89.68,143
226,Online TA,TA/TO,0,240.0,,Transient,155.0,144
227,Direct,Direct,0,250.0,,Transient,112.0,145
228,Online TA,TA/TO,0,240.0,,Transient-Party,130.1,146
229,Online TA,TA/TO,0,240.0,,Transient-Party,100.1,147
230,Online TA,TA/TO,0,242.0,,Transient,123.0,148
232,Direct,Direct,0,,,Transient,146.0,149
233,Direct,Direct,0,250.0,,Transient,97.0,150
237,Online TA,TA/TO,0,240.0,,Transient,105.08,151
238,Online TA,TA/TO,0,240.0,,Transient,65.42,152
239,Direct,Direct,0,250.0,,Transient,98.0,153
240,Online TA,TA/TO,0,241.0,,Transient,75.46,154
241,Offline TA/TO,TA/TO,0,177.0,,Transient,65.5,155
242,Offline TA/TO,TA/TO,0,6.0,,Transient,90.95,156
244,Offline TA/TO,TA/TO,0,143.0,,Contract,119.25,157
246,Online TA,TA/TO,0,240.0,,Transient,112.0,158
247,Online TA,TA/TO,0,240.0,,Transient,118.13,159
248,Direct,Direct,0,250.0,,Transient,131.0,160
257,Online TA,TA/TO,0,105.0,,Transient,120.0,161
260,Direct,Direct,0,,,Transient-Party,197.0,162
264,Direct,Direct,0,250.0,,Transient,165.0,163
265,Online TA,TA/TO,0,240.0,,Transient,149.4,164
266,Online TA,TA/TO,0,240.0,,Transient,106.84,165
267,Direct,Direct,0,250.0,,Transient,161.0,166
268,Online TA,TA/TO,0,240.0,,Transient,134.43,167
269,Online TA,TA/TO,0,240.0,,Transient,144.43,168
270,Offline TA/TO,TA/TO,0,244.0,,Transient,152.0,169
271,Online TA,TA/TO,0,241.0,,Transient,125.54,170
272,Offline TA/TO,TA/TO,0,5.0,,Transient,133.83,171
273,Direct,Direct,0,250.0,,Transient,159.75,172
274,Online TA,TA/TO,0,240.0,,Transient,120.6,173
275,Online TA,TA/TO,0,240.0,,Transient,112.2,174
276,Online TA,TA/TO,0,241.0,,Transient,110.6,175
277,Online TA,TA/TO,0,241.0,,Transient,105.9,176
278,Online TA,TA/TO,0,241.0,,Transient,95.27,177
279,Online TA,TA/TO,0,241.0,,Transient,108.83,178
280,Offline TA/TO,TA/TO,0,149.0,,Transient,153.96,179
282,Direct,TA/TO,0,240.0,,Transient,90.67,180
283,Online TA,TA/TO,0,240.0,,Transient,126.67,181
284,Offline TA/TO,TA/TO,0,15.0,,Transient,144.4,182
285,Online TA,TA/TO,0,240.0,,Transient,99.5,183
286,Direct,Direct,0,250.0,,Transient,139.4,184
288,Online TA,TA/TO,0,241.0,,Transient,89.97,185
292,Online TA,TA/TO,0,240.0,,Transient,144.9,186
293,Direct,Direct,0,,,Transient,153.0,187
295,Corporate,Corporate,0,,113.0,Transient,100.0,188
300,Offline TA/TO,TA/TO,0,5.0,,Transient,104.68,189
301,Online TA,TA/TO,0,242.0,,Transient,166.0,190
302,Online TA,TA/TO,0,240.0,,Transient,111.25,191
303,Direct,Direct,0,250.0,,Transient,213.75,192
304,Online TA,TA/TO,0,240.0,,Transient,178.0,193
305,Direct,Direct,0,250.0,,Transient,113.9,194
306,Online TA,TA/TO,0,240.0,,Transient,129.29,195
309,Online TA,TA/TO,0,240.0,,Transient,169.0,196
310,Online TA,TA/TO,0,240.0,,Transient,93.0,197
311,Online TA,TA/TO,0,240.0,,Transient,132.29,198
312,Offline TA/TO,TA/TO,0,243.0,,Transient,123.0,199
313,Offline TA/TO,TA/TO,0,5.0,,Transient-Party,117.22,200
314,Offline TA/TO,TA/TO,0,156.0,,Transient,149.0,201
315,Direct,Direct,0,250.0,,Transient,164.57,202
316,Offline TA/TO,TA/TO,0,115.0,,Contract,107.0,203
318,Offline TA/TO,TA/TO,0,40.0,,Contract,119.25,204
320,Online TA,TA/TO,0,241.0,,Transient,105.71,205
323,Online TA,TA/TO,0,240.0,,Transient,126.0,206
324,Online TA,TA/TO,0,240.0,,Transient,148.3,207
325,Online TA,TA/TO,0,240.0,,Transient,125.22,208
327,Offline TA/TO,TA/TO,0,243.0,,Contract,130.0,209
328,Offline TA/TO,TA/TO,0,8.0,,Contract,133.16,210
329,Offline TA/TO,TA/TO,0,147.0,,Transient,78.84,211
333,Online TA,TA/TO,0,241.0,,Transient,90.71,212
335,Online TA,TA/TO,0,240.0,,Transient,120.2,213
338,Online TA,TA/TO,0,240.0,,Transient,128.0,214
341,Direct,Direct,0,250.0,,Transient,130.05,215
342,Offline TA/TO,TA/TO,0,156.0,,Contract,123.0,216
343,Online TA,TA/TO,0,241.0,,Transient,103.8,217
344,Online TA,TA/TO,0,240.0,,Transient,196.0,218
346,Online TA,TA/TO,0,240.0,,Transient,175.71,219
347,Offline TA/TO,TA/TO,0,134.0,,Transient-Party,119.7,220
348,Online TA,TA/TO,0,240.0,,Transient,100.86,221
350,Online TA,TA/TO,0,240.0,,Transient-Party,82.0,222
354,Direct,Direct,0,,,Transient,150.0,223
355,Online TA,TA/TO,0,240.0,,Transient,161.0,224
356,Online TA,TA/TO,0,147.0,,Transient,64.0,225
358,Online TA,TA/TO,0,240.0,,Transient,110.0,226
360,Online TA,TA/TO,0,240.0,,Transient,130.0,227
363,Corporate,Corporate,0,167.0,,Transient,114.0,228
364,Offline TA/TO,TA/TO,0,15.0,,Transient,79.5,229
365,Direct,TA/TO,0,240.0,,Transient,132.8,230
366,Direct,Direct,0,250.0,,Transient,120.0,231
367,Offline TA/TO,TA/TO,0,156.0,,Contract,79.5,232
368,Direct,Direct,0,,,Transient,120.0,233
369,Online TA,TA/TO,0,240.0,,Transient,144.2,234
370,Online TA,TA/TO,0,240.0,,Transient,107.2,235
371,Online TA,TA/TO,0,240.0,,Transient,120.0,236
373,Direct,Direct,0,,,Transient,163.8,237
374,Online TA,TA/TO,0,240.0,,Transient,98.5,238
375,Online TA,TA/TO,0,240.0,,Transient,130.5,239
376,Offline TA/TO,TA/TO,0,300.0,,Transient,153.0,240
379,Direct,Direct,0,250.0,,Transient,184.6,241
380,Direct,Direct,0,250.0,,Transient,181.22,242
382,Online TA,TA/TO,0,240.0,,Transient,100.2,243
383,Online TA,TA/TO,0,240.0,,Transient,134.25,244
384,Offline TA/TO,TA/TO,0,8.0,,Contract,96.3,245
385,Online TA,TA/TO,0,147.0,,Transient,83.09,246
386,Offline TA/TO,TA/TO,0,171.0,,Transient,105.5,247
387,Corporate,Corporate,0,,270.0,Transient,134.0,248
388,Online TA,TA/TO,0,240.0,,Transient,8.0,249
391,Online TA,TA/TO,0,240.0,,Transient,111.15,250
392,Online TA,TA/TO,0,240.0,,Transient,136.2,251
393,Direct,Direct,0,250.0,,Transient,101.8,252
394,Direct,Direct,0,,,Transient-Party,127.0,253
395,Direct,Direct,0,,,Transient-Party,161.5,254
396,Direct,TA/TO,0,240.0,,Transient,230.67,255
397,Online TA,TA/TO,0,240.0,,Transient,65.7,256
398,Online TA,TA/TO,0,240.0,,Transient,180.0,257
399,Online TA,TA/TO,0,240.0,,Transient,168.57,258
400,Offline TA/TO,TA/TO,0,242.0,,Transient,107.67,259
401,Online TA,TA/TO,0,240.0,,Transient,96.9,260
403,Online TA,TA/TO,0,147.0,,Transient,73.41,261
404,Online TA,TA/TO,0,241.0,,Transient,109.9,262
406,Direct,Direct,0,,,Transient,187.5,263
407,Corporate,Corporate,0,,,Transient,134.0,264
408,Offline TA/TO,TA/TO,0,171.0,,Transient,91.5,265
409,Online TA,TA/TO,0,240.0,,Transient,132.44,266
410,Online TA,TA/TO,0,241.0,,Transient,106.9,267
411,Online TA,TA/TO,0,240.0,,Transient,131.86,268
412,Online TA,TA/TO,0,240.0,,Transient,216.13,269
413,Groups,Direct,0,305.0,,Transient-Party,107.0,270
417,Groups,Direct,0,305.0,,Transient,107.0,271
418,Online TA,TA/TO,0,240.0,,Transient,190.33,272
420,Groups,Direct,0,305.0,,Transient-Party,94.0,273
421,Groups,Direct,0,305.0,,Transient-Party,0.0,274
422,Groups,Direct,0,305.0,,Transient-Party,98.75,275
423,Groups,Direct,0,305.0,,Transient-Party,148.23,276
434,Online TA,TA/TO,0,240.0,,Transient,195.0,277
436,Online TA,TA/TO,0,241.0,,Transient,123.2,278
437,Direct,Direct,0,146.0,,Transient,112.0,279
439,Online TA,TA/TO,0,242.0,,Transient,169.0,280
440,Direct,Direct,0,,,Transient,198.0,281
441,Online TA,TA/TO,0,240.0,,Transient,103.5,282
442,Online TA,TA/TO,0,240.0,,Transient,135.6,283
444,Direct,Direct,0,250.0,,Transient,184.0,284
445,Direct,Direct,0,250.0,,Transient,134.0,285
447,Online TA,TA/TO,0,240.0,,Transient,151.33,286
448,Online TA,TA/TO,0,240.0,,Transient,121.33,287
449,Direct,Direct,0,250.0,,Transient-Party,150.2,288
450,Direct,Direct,0,,178.0,Transient,139.0,289
452,Online TA,TA/TO,0,147.0,,Transient,75.44,290
454,Online TA,TA/TO,0,240.0,,Transient,166.0,291
457,Offline TA/TO,TA/TO,0,67.0,,Transient,96.3,292
458,Direct,Direct,0,,,Transient,160.0,293
460,Direct,Direct,0,,,Transient,127.25,294
461,Online TA,TA/TO,0,240.0,,Transient,164.0,295
462,Online TA,TA/TO,0,240.0,,Transient,144.5,296
463,Offline TA/TO,TA/TO,0,196.0,,Transient,112.0,297
464,Online TA,TA/TO,0,240.0,,Transient,134.0,298
466,Online TA,TA/TO,0,240.0,,Transient,155.5,299
467,Online TA,TA/TO,0,241.0,,Transient,110.5,300
468,Direct,Direct,0,,,Transient,144.5,301
469,Direct,Direct,0,250.0,,Transient,144.5,302
470,Offline TA/TO,TA/TO,0,196.0,,Transient,123.0,303
472,Offline TA/TO,TA/TO,0,5.0,,Transient,107.6,304
474,Offline TA/TO,TA/TO,0,152.0,,Transient-Party,107.0,305
475,Offline TA/TO,TA/TO,0,152.0,,Transient-Party,133.75,306
476,Direct,Direct,0,250.0,,Transient,103.5,307
477,Offline TA/TO,TA/TO,0,175.0,,Transient-Party,84.8,308
484,Direct,Direct,0,250.0,,Transient,195.0,309
485,Online TA,TA/TO,0,240.0,,Transient,125.0,310
487,Online TA,TA/TO,0,240.0,,Transient,132.3,311
489,Offline TA/TO,TA/TO,0,142.0,,Transient,92.0,312
494,Direct,Direct,0,,,Transient,194.9,313
496,Online TA,TA/TO,0,240.0,,Transient,118.5,314
497,Online TA,TA/TO,0,240.0,,Transient,192.0,315
498,Offline TA/TO,TA/TO,0,142.0,,Contract,128.27,316
500,Online TA,TA/TO,0,240.0,,Transient,126.3,317
501,Online TA,TA/TO,0,240.0,,Transient,154.0,318
502,Offline TA/TO,TA/TO,0,171.0,,Transient,96.3,319
504,Direct,Direct,0,,,Transient,136.0,320
506,Online TA,TA/TO,0,240.0,,Transient,116.33,321
507,Direct,Direct,0,,,Transient,164.0,322
508,Online TA,TA/TO,0,240.0,,Transient,147.67,323
509,Direct,Direct,0,250.0,,Transient,145.0,324
511,Online TA,TA/TO,0,242.0,,Transient,168.3,325
513,Direct,Direct,0,,,Transient,137.75,326
515,Online TA,TA/TO,0,240.0,,Transient,132.6,327
517,Online TA,TA/TO,0,240.0,,Transient,157.0,328
518,Online TA,TA/TO,0,240.0,,Transient,210.0,329
519,Offline TA/TO,TA/TO,0,8.0,,Contract,132.5,330
520,Online TA,TA/TO,0,241.0,,Transient,98.02,331
521,Direct,Direct,0,,,Transient,126.0,332
522,Direct,Direct,0,,,Transient,173.0,333
523,Direct,Direct,0,,,Transient,249.0,334
524,Online TA,TA/TO,0,240.0,,Transient,186.5,335
525,Direct,Direct,0,,,Transient,95.0,336
526,Direct,Direct,0,,,Transient,241.5,337
527,Online TA,TA/TO,0,240.0,,Transient,177.0,338
528,Offline TA/TO,TA/TO,0,5.0,,Transient,153.73,339
529,Direct,Direct,0,250.0,,Transient,115.0,340
530,Offline TA/TO,TA/TO,0,196.0,,Transient,127.03,341
531,Direct,Direct,0,,,Transient,128.25,342
534,Offline TA/TO,TA/TO,0,196.0,,Transient,135.0,343
537,Online TA,TA/TO,0,240.0,,Transient,124.5,344
539,Online TA,TA/TO,0,240.0,,Group,98.0,345
540,Direct,Direct,0,250.0,,Transient,135.0,346
541,Online TA,TA/TO,0,,240.0,Group,88.2,347
543,Online TA,TA/TO,0,240.0,,Transient,154.5,348
545,Direct,Direct,0,,,Transient,92.0,349
547,Direct,Direct,0,,,Transient,115.0,350
548,Offline TA/TO,TA/TO,0,5.0,,Transient,110.53,351
549,Offline TA/TO,TA/TO,0,261.0,,Transient,158.5,352
550,Online TA,TA/TO,0,241.0,,Transient,131.37,353
551,Online TA,TA/TO,0,240.0,,Transient,117.71,354
552,Offline TA/TO,TA/TO,0,115.0,,Contract,123.0,355
554,Online TA,TA/TO,0,240.0,,Transient,117.84,356
556,Offline TA/TO,TA/TO,0,156.0,,Transient,116.85,357
557,Online TA,TA/TO,0,241.0,,Transient,129.16,358
558,Online TA,TA/TO,0,240.0,,Transient,214.0,359
559,Online TA,TA/TO,0,240.0,,Transient,115.0,360
561,Offline TA/TO,TA/TO,0,156.0,,Transient,123.0,361
563,Offline TA/TO,TA/TO,0,142.0,,Contract,135.2,362
566,Offline TA/TO,TA/TO,0,104.0,,Transient,123.0,363
567,Online TA,TA/TO,0,240.0,,Transient,179.1,364
568,Offline TA/TO,TA/TO,0,5.0,,Transient,0.0,365
569,Online TA,TA/TO,0,241.0,,Transient,0.0,366
573,Direct,Direct,0,250.0,,Transient,157.0,367
575,Online TA,TA/TO,0,241.0,,Transient,111.65,368
578,Offline TA/TO,TA/TO,0,175.0,,Transient,104.0,369
581,Direct,Direct,0,250.0,,Transient,133.17,370
582,Online TA,TA/TO,0,240.0,,Transient,141.33,371
583,Offline TA/TO,TA/TO,0,241.0,,Transient,121.01,372
584,Direct,Direct,0,,,Transient,240.64,373
585,Online TA,TA/TO,0,105.0,,Transient,167.5,374
586,Online TA,TA/TO,0,240.0,,Transient,152.43,375
587,Offline TA/TO,TA/TO,0,175.0,,Transient,148.34,376
589,Direct,Direct,0,250.0,,Transient,172.93,377
591,Offline TA/TO,TA/TO,0,15.0,,Transient,192.5,378
593,Offline TA/TO,TA/TO,0,15.0,,Transient,111.2,379
594,Offline TA/TO,TA/TO,0,142.0,,Transient,141.6,380
597,Offline TA/TO,TA/TO,0,196.0,,Transient,200.0,381
600,Corporate,Corporate,0,,154.0,Transient,99.5,382
604,Direct,Direct,0,250.0,,Transient,207.0,383
605,Direct,Direct,0,250.0,,Transient,163.33,384
606,Online TA,TA/TO,0,240.0,,Transient,151.86,385
607,Offline TA/TO,TA/TO,0,6.0,,Transient,95.57,386
608,Online TA,TA/TO,0,240.0,,Transient,112.05,387
609,Direct,Direct,0,250.0,,Transient,160.0,388
610,Online TA,TA/TO,0,241.0,,Transient,103.18,389
612,Online TA,TA/TO,0,240.0,,Transient,119.75,390
614,Online TA,TA/TO,0,242.0,,Transient,167.69,391
617,Online TA,TA/TO,0,240.0,,Transient,178.4,392
618,Online TA,TA/TO,0,242.0,,Transient,0.0,393
623,Online TA,TA/TO,0,240.0,,Transient-Party,194.0,394
626,Online TA,TA/TO,0,240.0,,Transient,184.0,395
629,Offline TA/TO,TA/TO,0,241.0,,Transient,101.46,396
631,Online TA,TA/TO,0,240.0,,Transient,173.0,397
632,Offline TA/TO,TA/TO,0,171.0,,Transient,217.05,398
633,Online TA,TA/TO,0,240.0,,Transient-Party,164.0,399
634,Online TA,TA/TO,0,240.0,,Transient-Party,173.0,400
635,Direct,Direct,0,,,Transient,112.5,401
636,Online TA,TA/TO,0,240.0,,Transient-Party,153.0,402
641,Online TA,TA/TO,0,240.0,,Transient,233.0,403
642,Direct,Direct,0,250.0,,Transient,154.0,404
645,Offline TA/TO,TA/TO,0,6.0,,Transient,132.5,405
646,Online TA,TA/TO,0,240.0,,Transient,222.67,406
648,Offline TA/TO,TA/TO,0,134.0,,Transient,107.0,407
649,Online TA,TA/TO,0,240.0,,Transient,127.0,408
651,Online TA,TA/TO,0,240.0,,Transient,149.7,409
652,Online TA,TA/TO,0,240.0,,Transient,161.25,410
653,Offline TA/TO,TA/TO,0,177.0,,Transient,107.0,411
654,Online TA,TA/TO,0,147.0,,Transient-Party,75.44,412
657,Offline TA/TO,TA/TO,0,175.0,,Transient,159.2,413
658,Online TA,TA/TO,0,240.0,,Transient,163.29,414
660,Direct,TA/TO,0,240.0,,Transient,154.0,415
662,Offline TA/TO,TA/TO,0,95.0,,Transient,132.5,416
663,Offline TA/TO,TA/TO,0,95.0,,Transient,107.0,417
664,Offline TA/TO,TA/TO,0,40.0,,Contract,121.98,418
666,Offline TA/TO,TA/TO,0,261.0,,Transient,133.0,419
673,Online TA,TA/TO,0,242.0,,Transient,153.0,420
674,Direct,Direct,0,,,Transient,134.0,421
676,Offline TA/TO,TA/TO,0,142.0,,Transient,118.0,422
679,Online TA,TA/TO,0,241.0,,Transient,158.77,423
682,Online TA,TA/TO,0,241.0,,Transient,142.03,424
683,Direct,Direct,0,,,Transient,240.0,425
686,Online TA,TA/TO,0,242.0,,Transient,147.0,426
687,Online TA,TA/TO,0,240.0,,Transient,176.0,427
693,Offline TA/TO,TA/TO,0,142.0,,Transient,107.2,428
694,Direct,Direct,0,250.0,,Transient,131.63,429
695,Online TA,TA/TO,0,105.0,,Transient,233.05,430
696,Online TA,TA/TO,0,147.0,,Transient,90.12,431
701,Offline TA/TO,TA/TO,0,8.0,,Contract,114.25,432
702,Offline TA/TO,TA/TO,0,8.0,,Contract,107.0,433
703,Online TA,TA/TO,0,241.0,,Transient,88.55,434
704,Online TA,TA/TO,0,240.0,,Transient,149.0,435
710,Online TA,TA/TO,0,240.0,,Transient-Party,115.0,436
711,Online TA,TA/TO,0,241.0,,Transient,95.02,437
712,Offline TA/TO,TA/TO,0,5.0,,Transient,132.5,438
713,Direct,Direct,0,250.0,,Transient,209.0,439
716,Direct,Direct,0,250.0,,Transient,180.0,440
718,Direct,Direct,0,250.0,,Transient,174.01,441
719,Offline TA/TO,TA/TO,0,134.0,,Transient,133.0,442
726,Online TA,TA/TO,0,240.0,,Transient,124.2,443
733,Direct,Direct,0,,,Transient,162.0,444
735,Offline TA/TO,TA/TO,0,142.0,,Transient,133.2,445
737,Offline TA/TO,TA/TO,0,196.0,,Transient,107.0,446
738,Direct,Direct,0,,,Transient,145.0,447
740,Offline TA/TO,TA/TO,0,171.0,,Transient,107.0,448
741,Offline TA/TO,TA/TO,0,36.0,,Transient,167.2,449
745,Offline TA/TO,TA/TO,0,196.0,,Transient,149.0,450
749,Offline TA/TO,TA/TO,0,5.0,,Transient,107.2,451
751,Offline TA/TO,TA/TO,0,175.0,,Transient,183.45,452
752,Online TA,TA/TO,0,240.0,,Transient,159.6,453
755,Online TA,TA/TO,0,240.0,,Transient,219.43,454
759,Online TA,TA/TO,0,241.0,,Transient,102.72,455
760,Online TA,TA/TO,0,241.0,,Transient,114.85,456
768,Online TA,TA/TO,0,240.0,,Transient,138.8,457
772,Offline TA/TO,TA/TO,0,8.0,,Contract,115.5,458
774,Offline TA/TO,TA/TO,0,142.0,,Contract,0.0,459
775,Online TA,TA/TO,0,240.0,,Transient,108.54,460
