,adults,children,babies,country,Guest_id
72659,1,0,0,CIV,693
72764,2,2,0,MYT,694
72821,1,0,0,BHR,695
73077,3,0,0,KWT,696
73316,2,1,0,ECU,697
73569,3,0,0,ZAF,698
73685,2,1,0,SAU,699
76620,0,0,0,ITA,700
77718,2,2,0,UKR,701
78193,3,0,0,CMR,702
78383,1,2,0,SWE,703
78506,2,0,0,MMR,704
78656,1,0,9,GBR,705
78812,1,0,0,IRQ,706
79271,3,2,0,BRA,707
79971,2,0,0,PAN,708
80896,1,0,0,TUN,709
81331,3,0,0,TMP,710
82270,1,0,0,MUS,711
82556,2,2,1,FRA,712
83070,2,0,0,BFA,713
83411,1,2,0,KEN,714
83445,2,3,0,KOR,715
83777,1,2,0,BEL,716
83902,2,2,0,COL,717
84429,2,1,2,PRT,718
84454,0,2,0,FIN,719
84612,1,0,0,LBY,720
84684,1,0,0,GNB,721
84842,2,1,1,MAR,722
84881,3,0,0,BGR,723
85309,1,2,0,DEU,724
85483,3,0,0,LTU,725
85491,0,0,0,DEU,726
85539,0,0,0,SVN,727
85931,0,0,0,NLD,728
86052,3,0,0,MEX,729
86307,2,1,0,SVK,730
86596,1,0,0,CRI,731
87103,4,0,0,DEU,732
87268,2,0,0,MLI,733
87428,2,1,0,THA,734
87590,2,1,0,TZA,735
87636,2,1,0,KOR,736
88243,2,1,0,CRI,737
88315,2,0,0,NAM,738
88366,2,0,0,BOL,739
88369,2,0,1,DNK,740
88377,1,0,0,BOL,741
89589,1,2,0,POL,742
89771,1,0,0,URY,743
90790,0,2,1,ITA,744
91196,1,0,0,SYC,745
91280,2,0,1,HUN,746
91340,1,0,0,QAT,747
91380,2,1,0,EGY,748
91535,2,0,0,PRY,749
91751,1,0,0,BRB,750
91991,2,2,0,TMP,751
92014,1,0,1,NLD,752
92127,3,0,0,ABW,753
92415,2,3,0,NOR,754
92680,2,1,1,ROU,755
92738,2,2,0,MEX,756
92807,2,2,0,AIA,757
92854,3,2,0,NOR,758
92918,2,1,0,LBN,759
92921,2,3,0,DNK,760
93009,2,2,0,URY,761
93143,3,0,0,SLV,762
93204,0,0,0,FIN,763
93473,2,3,0,GBR,764
93705,1,2,0,NLD,765
93736,3,0,0,KAZ,766
94063,2,0,2,DNK,767
94447,3,0,1,ESP,768
94449,2,0,0,DMA,769
94583,2,3,0,POL,770
94769,0,0,0,RUS,771
94774,2,3,0,IRL,772
94849,2,3,0,NLD,773
95146,3,1,0,DNK,774
95368,2,0,1,JPN,775
95431,4,0,0,NLD,776
95497,2,1,1,DEU,777
95995,4,0,0,CN,778
96013,1,2,0,ITA,779
96225,1,1,0,AUT,780
96737,1,0,1,SVK,781
96847,4,0,0,CHE,782
96866,2,1,1,FIN,783
97254,2,1,1,IND,784
97413,2,1,0,NZL,785
97511,2,1,1,EST,786
97715,2,0,0,PYF,787
97746,0,2,0,CHL,788
98046,0,0,0,USA,789
98288,2,0,0,UGA,790
98447,2,0,1,AGO,791
99446,1,0,0,GUY,792
99517,2,0,0,LCA,793
99598,1,0,0,ATA,794
100135,2,2,0,SRB,795
100275,2,1,0,GAB,796
100346,2,0,1,KOR,797
100474,2,1,0,SVN,798
100563,0,0,0,POL,799
100858,2,0,0,RWA,800
100900,1,0,0,PAN,801
101399,0,0,0,SGP,802
101401,0,0,0,LUX,803
101957,0,0,0,BRA,804
102125,1,0,0,ALB,805
102206,1,0,0,MKD,806
102273,1,2,0,TUR,807
102320,1,1,0,SVN,808
102535,1,0,0,MNE,809
102579,2,0,0,MNE,810
103011,4,0,0,ARG,811
103131,2,2,0,PHL,812
103285,2,2,1,ITA,813
103460,2,0,1,CUB,814
103968,2,2,1,JPN,815
104155,2,0,0,GTM,816
104260,0,2,0,THA,817
104457,1,2,0,AUS,818
104575,1,1,0,MAR,819
104802,3,0,0,CYP,820
104943,2,0,0,ASM,821
104991,3,0,0,PAN,822
105222,3,0,0,CRI,823
105250,4,0,0,BRA,824
105664,1,0,0,SYR,825
106125,4,0,0,FRA,826
106199,1,0,0,GHA,827
106409,3,2,0,FRA,828
106446,3,0,0,LBN,829
106833,0,0,0,IRN,830
106888,1,0,0,LKA,831
107334,3,0,0,PER,832
107938,1,1,0,LUX,833
108456,0,1,0,BLR,834
108906,3,0,0,BIH,835
109377,3,0,0,OMN,836
109430,0,2,0,LUX,837
109697,2,1,0,URY,838
109823,2,0,0,KEN,839
109825,1,0,0,KEN,840
109905,2,2,0,NZL,841
109980,2,0,0,MRT,842
110431,1,0,0,CMR,843
110533,1,0,1,BRA,844
110581,3,2,0,CHE,845
110852,1,0,0,BGD,846
110890,3,0,0,ECU,847
111228,2,0,0,ABW,848
111531,0,0,0,IRL,849
111895,2,1,0,GTM,850
111980,0,0,0,IND,851
112040,2,0,0,NCL,852
112122,3,0,1,AGO,853
113152,1,2,0,LUX,854
113275,2,0,1,VEN,855
113741,0,1,0,FRA,856
113817,1,0,0,KIR,857
113912,2,0,0,SDN,858
114362,2,0,1,RUS,859
114686,2,1,0,KEN,860
115071,2,0,1,NOR,861
115334,2,0,0,ATF,862
115424,2,0,0,KNA,863
115541,2,3,0,ROU,864
115563,2,3,0,ARM,865
115861,1,3,0,CHN,866
115891,2,3,0,FIN,867
115956,0,2,0,JOR,868
116150,2,3,0,MEX,869
116358,2,1,0,LBY,870
116394,3,2,0,DNK,871
116539,2,3,0,ITA,872
116558,0,2,0,ZAF,873
116692,2,2,0,JOR,874
116828,2,1,0,CMR,875
116965,3,2,0,BEL,876
117399,2,0,0,SLE,877
117539,2,1,1,CN,878
117579,2,0,0,SLV,879
117943,2,0,0,LAO,880
118100,3,0,0,MYS,881
118200,0,3,0,MAR,882
118247,2,2,0,COM,883
118366,2,0,0,ETH,884
118794,2,0,1,COL,885
118835,2,1,0,CYP,886
118913,3,2,0,IRL,887
118947,1,1,0,HUN,888
