,is_canceled,stays_in_week_nights,stays_in_weekend_nights,previous_cancellations,booking_changes,deposit_type,required_car_parking_spaces,total_of_special_requests,meal,previous_bookings_not_canceled,Booking_id
141,0,0,2,0,0,No Deposit,1,0,BB,0,94
142,0,2,2,0,0,No Deposit,0,2,BB,0,95
143,0,3,2,0,0,No Deposit,1,2,BB,0,96
148,1,4,2,0,0,No Deposit,0,0,BB,0,97
149,1,5,2,0,0,No Deposit,0,0,HB,0,98
150,0,5,2,0,1,No Deposit,1,1,HB,0,99
154,0,5,4,0,1,No Deposit,1,1,BB,0,100
155,0,6,4,0,0,No Deposit,1,2,BB,0,101
156,0,6,4,0,3,No Deposit,1,1,BB,0,102
157,0,7,4,0,0,No Deposit,0,0,BB,0,103
160,0,4,1,0,1,No Deposit,0,0,BB,0,104
161,0,3,1,0,0,No Deposit,0,2,BB,0,105
162,0,3,1,0,0,No Deposit,1,2,BB,0,106
164,0,3,1,0,0,No Deposit,1,0,HB,0,107
165,0,3,1,0,1,No Deposit,0,2,BB,0,108
167,0,0,0,0,0,No Deposit,0,2,BB,0,109
168,0,0,0,0,0,No Deposit,0,0,BB,0,110
172,0,2,1,0,0,No Deposit,0,1,BB,0,111
173,1,3,1,0,0,No Deposit,0,0,HB,0,112
174,0,3,1,0,0,No Deposit,0,0,HB,0,113
175,0,3,1,0,1,No Deposit,0,1,BB,0,114
176,0,4,1,0,0,No Deposit,0,0,BB,0,115
177,0,4,1,0,0,No Deposit,1,0,HB,0,116
178,0,5,1,0,0,No Deposit,1,1,HB,0,117
179,0,5,1,0,1,No Deposit,0,0,BB,0,118
180,0,5,2,0,0,No Deposit,0,0,HB,0,119
183,0,5,3,0,0,No Deposit,0,1,HB,0,120
185,0,7,3,0,0,No Deposit,0,1,BB,0,121
186,0,7,3,0,1,No Deposit,0,1,BB,0,122
187,0,7,3,0,5,No Deposit,0,1,HB,0,123
188,0,7,3,0,0,No Deposit,0,2,HB,0,124
189,0,8,3,0,1,No Deposit,0,0,BB,0,125
194,0,3,0,0,0,No Deposit,1,2,BB,0,126
195,0,3,0,0,0,No Deposit,0,1,HB,0,127
196,0,0,0,0,0,No Deposit,0,1,BB,0,128
198,0,1,0,0,0,No Deposit,0,3,BB,0,129
199,0,1,0,0,0,No Deposit,1,0,HB,0,130
201,0,4,0,0,2,No Deposit,0,1,BB,0,131
202,0,4,0,0,0,No Deposit,0,2,BB,0,132
203,0,4,0,0,0,No Deposit,0,1,HB,0,133
204,0,4,0,0,2,No Deposit,0,0,BB,0,134
205,1,5,0,0,0,No Deposit,0,0,HB,0,135
206,1,5,2,0,0,No Deposit,0,2,HB,0,136
209,0,10,4,0,0,No Deposit,0,1,HB,0,137
211,0,4,0,0,0,No Deposit,1,2,BB,0,138
212,0,4,0,0,0,No Deposit,1,1,BB,0,139
213,1,4,0,0,0,No Deposit,0,1,BB,0,140
218,1,1,0,0,0,No Deposit,0,1,BB,0,141
220,0,2,0,0,0,No Deposit,1,1,BB,0,142
221,1,4,1,0,0,No Deposit,0,1,BB,0,143
222,0,4,2,0,1,No Deposit,1,1,BB,0,144
228,0,7,2,0,1,No Deposit,0,3,BB,0,145
229,0,7,2,0,0,No Deposit,0,2,BB,0,146
232,0,2,0,0,2,No Deposit,1,0,BB,0,147
233,1,3,0,0,0,No Deposit,0,0,BB,0,148
236,0,3,0,0,0,No Deposit,0,2,BB,0,149
240,0,3,2,0,0,No Deposit,1,1,BB,0,150
247,1,6,2,0,0,No Deposit,0,2,HB,0,151
254,0,2,0,0,2,No Deposit,1,1,HB,0,152
255,0,2,0,0,1,No Deposit,0,2,BB,0,153
259,0,2,1,0,0,No Deposit,0,2,BB,0,154
260,0,2,2,0,0,No Deposit,0,1,FB,0,155
263,0,3,2,0,0,No Deposit,0,2,BB,0,156
264,0,3,2,0,1,No Deposit,1,3,HB,0,157
266,0,5,2,0,1,No Deposit,1,2,HB,0,158
268,0,5,2,0,1,No Deposit,0,2,HB,0,159
270,0,5,2,0,2,No Deposit,0,0,HB,0,160
271,0,5,2,0,0,No Deposit,0,3,HB,0,161
272,0,5,2,0,0,No Deposit,0,2,FB,0,162
273,0,6,2,0,0,No Deposit,1,0,BB,0,163
277,0,9,4,0,0,No Deposit,0,0,BB,0,164
280,1,3,2,0,0,No Deposit,0,0,HB,0,165
284,0,4,2,0,0,No Deposit,0,1,HB,0,166
288,0,2,2,0,0,No Deposit,0,1,BB,0,167
290,0,2,2,0,1,No Deposit,0,0,BB,0,168
292,0,1,0,0,1,No Deposit,0,1,HB,0,169
295,0,1,1,0,0,No Deposit,1,0,HB,0,170
298,0,1,2,0,0,No Deposit,0,0,BB,0,171
302,1,6,2,0,0,No Deposit,0,2,BB,0,172
303,0,6,2,0,1,No Deposit,0,0,HB,0,173
304,0,6,4,0,1,No Deposit,1,0,HB,0,174
308,0,0,1,0,0,No Deposit,1,2,BB,0,175
310,1,4,2,0,0,No Deposit,0,2,BB,0,176
313,0,5,2,0,0,No Deposit,0,1,FB,0,177
317,0,5,2,0,0,No Deposit,1,2,FB,0,178
323,1,5,3,0,0,No Deposit,0,1,BB,0,179
324,0,5,4,0,0,No Deposit,1,2,HB,0,180
325,0,5,4,0,0,No Deposit,0,1,BB,0,181
327,0,7,4,0,0,No Deposit,1,1,HB,0,182
328,1,10,4,0,2,No Deposit,0,1,BB,0,183
331,0,0,2,0,0,No Deposit,0,1,BB,0,184
332,0,0,2,0,0,No Deposit,0,0,BB,0,185
336,0,1,2,0,1,No Deposit,0,0,BB,0,186
337,0,1,2,0,0,No Deposit,0,3,BB,0,187
338,1,1,2,0,0,No Deposit,0,0,HB,0,188
340,0,2,2,0,2,No Deposit,0,2,BB,0,189
341,0,2,2,0,0,No Deposit,1,1,BB,0,190
344,0,3,2,0,0,No Deposit,0,1,BB,0,191
345,0,3,2,0,0,No Deposit,1,0,HB,0,192
350,0,1,1,0,0,No Deposit,0,3,BB,0,193
352,0,1,1,0,0,No Deposit,1,0,BB,0,194
355,0,1,1,0,0,No Deposit,1,2,HB,0,195
357,1,1,1,0,0,No Deposit,0,0,BB,0,196
359,0,2,1,0,0,No Deposit,1,1,BB,0,197
360,0,2,1,0,0,No Deposit,1,0,HB,0,198
362,0,2,1,0,2,No Deposit,1,1,HB,0,199
364,1,4,1,0,0,No Deposit,0,0,BB,0,200
365,1,4,1,0,0,No Deposit,0,1,HB,0,201
366,0,4,1,0,0,No Deposit,0,2,BB,0,202
373,0,4,1,0,0,No Deposit,0,1,HB,0,203
374,1,5,1,0,0,No Deposit,0,2,BB,0,204
375,1,5,1,0,0,No Deposit,0,0,HB,0,205
376,0,5,1,0,2,No Deposit,0,0,HB,0,206
377,0,5,1,0,0,No Deposit,0,2,BB,0,207
382,0,0,1,0,0,No Deposit,1,3,BB,0,208
383,0,3,1,0,1,No Deposit,1,0,HB,0,209
384,0,5,3,0,0,No Deposit,0,0,BB,0,210
385,0,6,3,0,0,No Deposit,0,2,BB,0,211
388,0,1,0,0,2,No Deposit,0,1,BB,0,212
389,0,2,0,0,1,No Deposit,1,1,BB,0,213
390,1,4,0,0,0,No Deposit,0,2,BB,0,214
392,0,5,0,0,1,No Deposit,0,2,BB,0,215
393,0,5,0,0,0,No Deposit,0,0,BB,0,216
394,0,5,1,0,0,No Deposit,0,1,HB,0,217
395,0,5,1,0,0,No Deposit,0,2,HB,0,218
396,0,5,1,0,1,No Deposit,1,2,HB,0,219
398,0,5,2,0,0,No Deposit,1,2,HB,0,220
400,1,7,2,0,0,No Deposit,0,1,BB,0,221
402,0,7,2,0,0,No Deposit,0,1,BB,0,222
403,0,9,2,0,0,No Deposit,0,0,BB,0,223
404,0,10,4,0,0,No Deposit,0,2,HB,0,224
405,0,10,4,0,1,No Deposit,0,2,HB,0,225
406,0,11,4,0,1,No Deposit,1,3,BB,0,226
410,0,4,2,0,0,No Deposit,0,0,HB,0,227
413,0,2,0,0,0,No Deposit,0,0,FB,0,228
420,0,2,0,0,1,No Deposit,0,0,FB,0,229
421,1,2,0,0,0,No Deposit,0,0,FB,0,230
439,0,1,0,0,1,No Deposit,1,1,BB,0,231
440,0,2,0,0,1,No Deposit,1,0,BB,0,232
444,0,3,0,0,0,No Deposit,1,0,BB,0,233
451,0,3,2,0,1,No Deposit,0,1,BB,0,234
457,0,6,2,0,1,No Deposit,0,0,BB,0,235
458,0,10,4,0,1,No Deposit,0,0,HB,0,236
461,0,2,0,0,0,No Deposit,0,2,BB,0,237
473,1,2,1,0,0,No Deposit,0,1,BB,0,238
475,0,3,2,0,0,No Deposit,1,0,BB,0,239
485,0,5,2,0,1,No Deposit,0,2,BB,0,240
487,0,5,2,0,1,No Deposit,0,3,HB,0,241
491,0,6,2,0,0,No Deposit,0,2,HB,0,242
492,0,6,2,0,0,No Deposit,1,2,HB,0,243
494,0,7,3,0,1,No Deposit,0,2,HB,0,244
495,0,2,1,0,3,No Deposit,1,3,BB,0,245
496,0,2,1,0,3,No Deposit,0,3,BB,0,246
497,0,2,1,0,1,No Deposit,0,1,HB,0,247
498,0,2,1,0,0,No Deposit,0,0,BB,0,248
505,0,2,1,0,4,No Deposit,0,3,BB,0,249
508,0,1,2,0,0,No Deposit,0,2,BB,0,250
510,0,4,2,0,1,No Deposit,1,2,HB,0,251
511,1,4,2,0,0,No Deposit,0,0,HB,0,252
516,1,2,2,0,0,No Deposit,0,0,HB,0,253
517,1,2,2,0,1,No Deposit,0,2,BB,0,254
523,0,1,0,0,0,No Deposit,0,0,FB,0,255
527,0,5,2,0,0,No Deposit,1,0,HB,0,256
528,0,5,2,0,0,No Deposit,1,0,FB,0,257
534,0,6,2,0,0,No Deposit,0,1,HB,0,258
535,1,6,2,0,0,No Deposit,0,0,HB,0,259
542,0,0,1,0,0,No Deposit,1,1,BB,0,260
543,0,0,2,0,0,No Deposit,1,2,BB,0,261
544,1,1,2,0,0,No Deposit,0,0,BB,0,262
546,1,2,2,0,0,No Deposit,0,0,BB,0,263
557,0,4,2,0,0,No Deposit,0,1,BB,0,264
562,1,5,3,0,0,No Deposit,0,0,BB,0,265
563,0,6,4,0,0,No Deposit,0,0,BB,0,266
564,0,10,4,0,0,No Deposit,0,2,BB,0,267
565,0,4,2,0,2,No Deposit,0,1,BB,0,268
567,1,2,1,0,0,No Deposit,0,2,BB,0,269
570,0,3,1,0,0,No Deposit,0,3,BB,0,270
572,0,3,1,0,3,No Deposit,1,2,BB,0,271
580,1,5,1,0,0,No Deposit,0,1,BB,0,272
581,0,5,1,0,0,No Deposit,0,0,HB,0,273
582,1,5,1,0,1,No Deposit,0,1,BB,0,274
584,1,5,2,0,0,No Deposit,0,0,FB,0,275
587,0,5,2,0,0,No Deposit,0,0,FB,0,276
589,1,5,2,0,1,No Deposit,0,1,HB,0,277
592,1,6,3,0,0,No Deposit,0,0,HB,0,278
593,1,6,3,0,0,No Deposit,0,0,FB,0,279
594,0,7,3,0,1,No Deposit,0,1,HB,0,280
595,0,7,3,0,0,No Deposit,0,1,HB,0,281
597,1,8,3,0,0,No Deposit,0,0,HB,0,282
601,1,3,0,0,0,No Deposit,0,2,BB,0,283
604,0,5,0,0,1,No Deposit,1,0,BB,0,284
605,0,5,1,0,0,No Deposit,1,1,BB,0,285
610,0,8,2,0,0,No Deposit,0,1,BB,0,286
619,0,0,0,0,1,No Deposit,0,1,BB,0,287
620,0,1,0,0,0,No Deposit,1,1,BB,0,288
623,0,3,0,0,1,No Deposit,1,1,HB,0,289
632,0,6,2,0,1,No Deposit,1,1,HB,0,290
646,0,2,1,0,2,No Deposit,0,0,BB,0,291
656,0,5,2,0,1,No Deposit,0,0,BB,0,292
657,1,5,2,0,0,No Deposit,0,1,FB,0,293
659,1,6,2,0,0,No Deposit,0,0,BB,0,294
660,0,6,2,0,0,No Deposit,0,2,BB,0,295
661,0,7,2,0,0,No Deposit,0,0,HB,0,296
664,1,10,4,0,0,No Deposit,0,1,BB,0,297
665,0,0,0,0,0,No Deposit,0,0,HB,0,298
666,0,1,2,0,0,No Deposit,0,0,HB,0,299
672,1,1,1,0,0,No Deposit,0,2,BB,0,300
673,1,1,1,0,0,No Deposit,0,1,BB,0,301
677,0,2,2,0,1,No Deposit,0,1,BB,0,302
678,0,3,2,0,0,No Deposit,0,2,HB,0,303
683,0,3,2,0,1,No Deposit,0,0,HB,0,304
685,1,4,2,0,0,No Deposit,0,3,BB,0,305
688,1,5,2,0,1,No Deposit,0,1,BB,0,306
695,0,6,2,0,0,No Deposit,1,0,HB,0,307
696,0,6,2,0,1,No Deposit,0,1,HB,0,308
697,1,6,3,0,0,No Deposit,0,1,BB,0,309
698,1,6,3,0,0,No Deposit,0,2,BB,0,310
700,0,6,4,0,0,No Deposit,0,2,BB,0,311
701,0,8,4,0,0,No Deposit,0,1,BB,0,312
702,1,10,4,0,0,No Deposit,0,0,BB,0,313
707,1,2,2,0,0,No Deposit,0,1,BB,0,314
708,1,3,2,0,0,No Deposit,0,1,BB,0,315
719,1,5,3,0,0,No Deposit,0,1,HB,0,316
722,0,0,0,0,1,No Deposit,0,0,BB,0,317
726,1,1,1,0,1,No Deposit,0,1,HB,0,318
727,1,1,1,0,0,No Deposit,0,1,HB,0,319
729,0,2,1,0,0,No Deposit,0,2,HB,0,320
731,0,2,1,0,0,No Deposit,1,2,HB,0,321
733,0,3,1,0,5,No Deposit,0,2,BB,0,322
738,0,3,1,0,0,No Deposit,0,2,HB,0,323
742,1,3,1,0,0,No Deposit,0,2,BB,0,324
743,0,3,1,0,1,No Deposit,0,0,BB,0,325
746,0,4,1,0,0,No Deposit,1,0,BB,0,326
747,0,4,1,0,1,No Deposit,0,1,BB,0,327
750,1,4,1,0,0,No Deposit,0,0,HB,0,328
751,1,5,1,0,0,No Deposit,0,1,HB,0,329
753,0,5,1,0,0,No Deposit,0,0,BB,0,330
768,0,5,0,0,0,No Deposit,0,1,BB,0,331
769,1,5,0,0,0,No Deposit,0,2,BB,0,332
771,0,5,1,0,0,No Deposit,0,1,BB,0,333
773,0,8,2,0,1,No Deposit,0,1,BB,0,334
787,1,4,1,0,1,No Deposit,0,2,HB,0,335
794,1,1,0,0,1,No Deposit,0,3,BB,0,336
795,0,1,0,0,1,No Deposit,0,0,BB,0,337
799,0,3,0,0,0,No Deposit,0,2,HB,0,338
803,0,3,0,0,0,No Deposit,1,0,FB,0,339
809,1,3,2,0,1,No Deposit,0,0,BB,0,340
810,0,7,2,0,2,No Deposit,1,3,HB,0,341
815,0,0,0,0,0,No Deposit,1,0,HB,0,342
818,1,1,0,0,0,No Deposit,0,3,BB,0,343
821,1,2,0,0,0,No Deposit,0,3,BB,0,344
829,0,2,0,0,0,No Deposit,0,1,HB,0,345
834,1,2,1,0,0,No Deposit,0,3,BB,0,346
839,0,3,2,0,1,No Deposit,0,0,BB,0,347
840,0,4,2,0,0,No Deposit,1,1,BB,0,348
847,1,1,0,0,1,No Deposit,0,2,BB,0,349
850,1,1,0,0,1,No Deposit,0,1,BB,0,350
853,1,3,2,0,1,No Deposit,0,1,HB,0,351
855,1,4,2,0,0,No Deposit,0,1,BB,0,352
858,1,5,2,0,1,No Deposit,0,2,HB,0,353
861,1,5,2,0,1,No Deposit,0,3,HB,0,354
862,0,5,2,0,1,No Deposit,1,4,HB,0,355
864,0,6,2,0,2,No Deposit,0,0,HB,0,356
866,1,6,4,0,0,No Deposit,0,1,BB,0,357
867,1,6,4,0,0,No Deposit,0,3,BB,0,358
868,1,10,4,0,1,No Deposit,0,0,BB,0,359
870,1,0,1,0,0,No Deposit,0,2,BB,0,360
871,1,0,2,0,0,No Deposit,0,1,BB,0,361
872,1,3,2,0,0,No Deposit,0,2,BB,0,362
874,0,5,2,0,0,No Deposit,1,1,HB,0,363
875,0,4,2,0,4,No Deposit,1,4,HB,0,364
878,0,5,2,0,3,No Deposit,1,1,BB,0,365
879,0,5,4,0,0,No Deposit,0,0,BB,0,366
884,1,1,1,0,0,No Deposit,0,0,HB,0,367
887,1,4,1,0,1,No Deposit,0,0,BB,0,368
898,0,4,0,0,1,No Deposit,0,2,HB,0,369
899,0,4,0,0,1,No Deposit,1,2,HB,0,370
901,0,5,0,0,1,No Deposit,0,2,HB,0,371
906,0,8,2,0,1,No Deposit,0,1,HB,0,372
913,1,4,0,0,1,No Deposit,0,1,BB,0,373
914,0,4,0,0,0,No Deposit,1,0,BB,0,374
918,0,4,0,0,1,No Deposit,0,2,BB,0,375
925,0,3,0,0,2,No Deposit,1,1,HB,0,376
928,0,3,2,0,1,No Deposit,1,4,HB,0,377
930,0,4,2,0,0,No Deposit,0,3,BB,0,378
931,0,6,2,0,2,No Deposit,0,2,BB,0,379
933,0,8,2,0,1,No Deposit,0,3,BB,0,380
937,0,2,0,0,1,No Deposit,0,4,BB,0,381
940,0,2,0,0,0,No Deposit,0,3,BB,0,382
946,1,2,2,0,0,No Deposit,0,1,HB,0,383
955,0,7,2,0,1,No Deposit,1,1,BB,0,384
960,0,1,1,0,0,No Deposit,1,1,HB,0,385
964,0,2,2,0,0,No Deposit,1,3,HB,0,386
965,0,2,2,0,0,No Deposit,0,1,HB,0,387
973,0,5,2,0,0,No Deposit,1,3,FB,0,388
982,1,6,2,0,1,No Deposit,0,0,BB,0,389
983,0,9,4,0,0,No Deposit,1,0,BB,0,390
987,1,0,2,0,0,No Deposit,0,2,BB,0,391
989,0,1,2,0,1,No Deposit,1,2,BB,0,392
995,1,4,2,0,0,No Deposit,0,2,HB,0,393
998,0,4,2,0,0,No Deposit,1,1,FB,0,394
1005,1,10,4,0,0,No Deposit,0,1,HB,0,395
1006,1,10,4,0,1,No Deposit,0,1,HB,0,396
1007,0,0,0,0,0,No Deposit,0,2,HB,0,397
1008,0,2,1,0,0,No Deposit,1,1,HB,0,398
1021,1,5,1,0,0,No Deposit,0,0,BB,0,399
1028,0,8,3,0,0,No Deposit,0,1,HB,0,400
1031,1,2,0,0,1,No Deposit,0,0,BB,0,401
1033,1,2,0,0,1,No Deposit,0,1,BB,0,402
1041,1,5,0,0,0,No Deposit,0,0,BB,0,403
1042,1,5,0,0,0,No Deposit,0,1,HB,0,404
1044,1,5,0,0,0,No Deposit,0,3,BB,0,405
1050,1,5,0,0,1,No Deposit,0,2,BB,0,406
1051,1,5,0,0,0,No Deposit,0,1,BB,0,407
1053,0,8,2,0,1,No Deposit,1,2,FB,0,408
1055,1,10,2,0,0,No Deposit,0,2,HB,0,409
1056,0,10,2,0,1,No Deposit,0,1,BB,0,410
1064,1,4,0,0,1,No Deposit,0,3,BB,0,411
1068,1,8,2,0,0,No Deposit,0,1,BB,0,412
1083,0,3,1,0,0,No Deposit,0,1,HB,0,413
1087,0,3,2,0,1,No Deposit,0,2,BB,0,414
1099,0,2,0,0,1,No Deposit,0,2,HB,0,415
1102,1,2,0,0,0,No Deposit,0,1,HB,0,416
1112,0,5,2,0,2,No Deposit,1,0,HB,0,417
1119,0,2,2,0,0,No Deposit,1,0,HB,0,418
1123,1,3,2,0,1,No Deposit,0,3,HB,0,419
1124,1,3,2,0,0,No Deposit,0,1,HB,0,420
1129,0,4,2,0,0,No Deposit,0,1,FB,0,421
1130,1,4,2,0,0,No Deposit,0,0,FB,0,422
1133,0,5,2,0,1,No Deposit,0,1,BB,0,423
1141,0,5,2,0,1,No Deposit,1,0,BB,0,424
1142,1,5,2,0,1,No Deposit,0,0,HB,0,425
1148,0,10,4,0,0,No Deposit,0,1,BB,0,426
1149,1,12,6,0,0,No Deposit,0,0,BB,0,427
1164,1,1,2,0,0,No Deposit,0,1,BB,0,428
1166,1,2,2,0,0,No Deposit,0,2,BB,0,429
1173,0,5,4,0,2,No Deposit,0,0,BB,0,430
1174,1,6,4,0,0,No Deposit,0,0,BB,0,431
1177,1,4,1,0,0,No Deposit,0,2,BB,0,432
1179,1,3,1,0,1,No Deposit,0,0,HB,0,433
1182,0,5,1,0,0,No Deposit,0,3,BB,0,434
1194,1,5,3,0,0,No Deposit,0,2,BB,0,435
1196,1,3,0,0,0,No Deposit,0,1,HB,0,436
1200,0,3,0,0,2,No Deposit,0,1,BB,0,437
1204,0,5,1,0,1,No Deposit,0,1,HB,0,438
1215,0,0,0,0,0,No Deposit,0,1,HB,0,439
1216,0,1,0,0,3,No Deposit,0,2,BB,0,440
1217,0,4,0,0,1,No Deposit,0,0,HB,0,441
1218,1,4,0,0,0,No Deposit,0,0,HB,0,442
1221,0,4,1,0,0,No Deposit,0,2,HB,0,443
1228,0,7,2,0,1,No Deposit,0,1,HB,0,444
1229,1,7,2,0,0,No Deposit,0,0,HB,0,445
1231,1,2,0,0,0,No Deposit,0,0,HB,0,446
1235,0,4,2,0,4,No Deposit,0,0,HB,0,447
1251,0,3,2,0,2,No Deposit,1,2,BB,0,448
1253,0,4,2,0,1,No Deposit,0,1,HB,0,449
1254,0,4,2,0,0,No Deposit,0,0,FB,0,450
1263,1,7,2,0,0,No Deposit,0,0,BB,0,451
1264,0,7,2,0,0,No Deposit,0,3,BB,0,452
1280,0,5,2,0,1,No Deposit,1,1,BB,0,453
1289,1,2,2,0,0,No Deposit,0,2,HB,0,454
1290,0,3,2,0,2,No Deposit,1,1,BB,0,455
1293,0,4,2,0,1,No Deposit,1,1,HB,0,456
1294,0,4,2,0,1,No Deposit,1,0,HB,0,457
1295,0,1,2,0,1,No Deposit,0,1,HB,0,458
1306,1,4,2,0,0,No Deposit,0,1,HB,0,459
1311,1,5,2,0,0,No Deposit,0,4,HB,0,460
1316,1,6,4,0,0,No Deposit,0,2,HB,0,461
1329,0,3,1,0,2,No Deposit,0,1,BB,0,462
1331,0,4,1,0,1,No Deposit,1,0,FB,0,463
1332,0,4,1,0,0,No Deposit,0,3,BB,0,464
1339,1,5,2,0,1,No Deposit,0,1,FB,0,465
1340,1,5,2,0,2,No Deposit,0,1,BB,0,466
1344,1,5,0,0,1,No Deposit,0,2,HB,0,467
1351,0,8,2,0,0,No Deposit,0,0,BB,0,468
1360,1,4,0,0,0,No Deposit,0,3,BB,0,469
1367,0,1,0,0,1,No Deposit,1,2,BB,0,470
1369,0,3,0,0,1,No Deposit,0,1,BB,0,471
1370,1,3,0,0,1,No Deposit,0,3,HB,0,472
1371,1,3,1,0,0,No Deposit,0,1,HB,0,473
